normalized_name,metabolite_name,hmdb_id,smiles,average_molecular_weight,monoisotopic_molecular_weight,srm1950_instrument_type,srm1950_classification,srm1950_reference,source_srm1950_db,nist_srm1950,serum_evidence,hmdb_biofluid,endogenous_hint
3-hydroxybutyric acid,3-Hydroxybutyric acid,HMDB0000011,C[C@@H](O)CC(O)=O,104.1045,104.047344100,"NMR, LC-MS/MS",Beta hydroxy acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
2-hydroxyisovaleric acid,2-hydroxyisovaleric acid,HMDB0000407,CC(C)C(O)C(O)=O,118.1311,118.062994200,"NMR, LC-MS/MS",Fatty acids and conjugates,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
l-alpha-aminobutyric acid,L-Alpha-aminobutyric acid,HMDB0000452,CC[C@H](N)C(O)=O,103.1198,103.063328500,"NMR, LC-MS/MS","Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
3-methyl-2-oxovaleric acid,3-Methyl-2-oxovaleric acid,HMDB0000491,CC[C@H](C)C(=O)C(O)=O,130.1418,130.062994200,"NMR, LC-MS/MS",Short-chain keto acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
3-hydroxyisovaleric acid,3-Hydroxyisovaleric acid,HMDB0000754,CC(C)(O)CC(O)=O,118.1311,118.062994200,"NMR, LC-MS/MS",Fatty acids and conjugates,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
alpha-ketoglutaric acid,alpha-Ketoglutaric acid,HMDB0000208,OC(=O)CCC(=O)C(O)=O,146.0981,146.021523300,"NMR, LC-MS/MS",Gamma-keto acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
butyric acid,Butyric acid,HMDB0000039,CCCC(O)=O,88.1051,88.052429500,LC-MS/MS,Fatty acids and conjugates,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
propionic acid,Propionic acid,HMDB0000237,CCC(O)=O,74.0785,74.036779440,LC-MS/MS,Carboxylic acids,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
hphpa,HPHPA,HMDB0002643,OC(CC(O)=O)C1=CC(O)=CC=C1,182.1733,182.057908800,LC-MS/MS,no subclass,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
para-hydroxyhippuric acid,Para-hydroxyhippuric acid,HMDB0013678,OC(=O)CNC(=O)C1=CC=C(O)C=C1,195.1721,195.053157800,LC-MS/MS,Benzoic acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
l-lactic acid,L-Lactic acid,HMDB0000190,C[C@H](O)C(O)=O,90.0779,90.031694060,"NMR, LC-MS/MS",Alpha hydroxy acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
fumaric acid,Fumaric acid,HMDB0000134,OC(=O)\C=C\C(O)=O,116.0722,116.010958600,"NMR, LC-MS/MS",Dicarboxylic acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
pyruvic acid,Pyruvic acid,HMDB0000243,CC(=O)C(O)=O,88.0621,88.016043990,"NMR, LC-MS/MS",Alpha-keto acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
isobutyric acid,Isobutyric acid,HMDB0001873,CC(C)C(O)=O,88.1051,88.052429500,"NMR, LC-MS/MS",Carboxylic acids,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
hippuric acid,Hippuric acid,HMDB0000714,OC(=O)CNC(=O)C1=CC=CC=C1,179.1727,179.058243200,LC-MS/MS,Benzoic acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
methylmalonic acid,Methylmalonic acid,HMDB0000202,CC(C(O)=O)C(O)=O,118.0880,118.026608700,LC-MS/MS,Dicarboxylic acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
homovanillic acid,Homovanillic acid,HMDB0000118,COC1=CC(CC(O)=O)=CC=C1O,182.1733,182.057908800,LC-MS/MS,Phenols,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
uric acid,Uric acid,HMDB0000289,O=C1NC2=C(N1)C(=O)NC(=O)N2,168.1103,168.028340000,LC-MS/MS,Purines and purine derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
malonic acid,Malonic acid,HMDB0000691,OC(=O)CC(O)=O,104.0615,104.010958600,LC-MS/MS,Dicarboxylic acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
cortisol,Cortisol,HMDB0000063,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,362.4599,362.209324100,LC-MS/MS,Hydroxysteroids,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
dehydroepiandrosterone sulfate (dheas),Dehydroepiandrosterone sulfate (DHEAS),HMDB0001032,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@H](CC[C@]12C)OS(O)(=O)=O,368.4880,368.165744700,LC-MS/MS,Sulfated steroids,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
progesterone,Progesterone,HMDB0001830,#N/A,0.0000,0.000000000,LC-MS/MS,Pregnane steroids,NIST Certified data,TRUE,TRUE,TRUE,TRUE,TRUE
testosterone,Testosterone,HMDB0000234,#N/A,0.0000,0.000000000,LC-MS/MS,Androstane steroids,NIST Certified data,TRUE,TRUE,TRUE,TRUE,TRUE
tyrosine,Tyrosine,HMDB0000158,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,181.1885,181.073893200,"NMR, LC-MS/MS","Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
l-phenylalanine,L-Phenylalanine,HMDB0000159,N[C@@H](CC1=CC=CC=C1)C(O)=O,165.1891,165.078978600,"NMR, LC-MS/MS","Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
l-alanine,L-Alanine,HMDB0000161,C[C@H](N)C(O)=O,89.0932,89.047678470,"NMR, LC-MS/MS","Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
l-proline,L-Proline,HMDB0000162,OC(=O)[C@@H]1CCCN1,115.1305,115.063328500,"NMR, LC-MS/MS","Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
l-threonine,L-Threonine,HMDB0000167,C[C@@H](O)[C@H](N)C(O)=O,119.1192,119.058243200,"NMR, LC-MS/MS","Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
l-asparagine,L-Asparagine,HMDB0000168,N[C@@H](CC(N)=O)C(O)=O,132.1179,132.053492100,"NMR, LC-MS/MS","Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
isoleucine,Isoleucine,HMDB0000172,CC[C@H](C)[C@H](N)C(O)=O,131.1729,131.094628700,"NMR, LC-MS/MS","Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
l-histidine,L-Histidine,HMDB0000177,N[C@@H](CC1=CNC=N1)C(O)=O,155.1546,155.069476500,"NMR, LC-MS/MS","Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
l-lysine,L-Lysine,HMDB0000182,NCCCC[C@H](N)C(O)=O,146.1876,146.105527700,"NMR, LC-MS/MS","Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
