normalized_name,ghosh_chemical_name,ghosh_chem_id,ghosh_super_pathway,ghosh_sub_pathway,ghosh_nr_cohorts_present,ghosh_max_missingness,ghosh_percent_missing_MDCS,ghosh_percent_missing_PIVUS,ghosh_percent_missing_POEM,ghosh_percent_missing_SCAPIS_M,ghosh_percent_missing_SCAPIS_U,ghosh_all5_cohorts,ghosh_core_50pct,source_ghosh_2024
stearoyl-arachidonoyl-glycerol (18:0/20:4) [1],stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]*,100010949,Lipid,Diacylglycerol,1,43.49030471,43.49030471,NA,NA,NA,NA,FALSE,FALSE,TRUE
palmitoyl-docosahexaenoyl-glycerol (16:0/22:6) [1],palmitoyl-docosahexaenoyl-glycerol (16:0/22:6) [1]*,100015618,Lipid,Diacylglycerol,1,17.91320406,17.91320406,NA,NA,NA,NA,FALSE,FALSE,TRUE
n-behenoyl-sphingadienine (d18:2/22:0),N-behenoyl-sphingadienine (d18:2/22:0)*,100015624,Lipid,Ceramides,1,0.55401662,0.55401662,NA,NA,NA,NA,FALSE,FALSE,TRUE
n-palmitoylserine,N-palmitoylserine,100015640,Lipid,Endocannabinoid,4,63.47305389,34.71837488,46.10281924,63.47305389,NA,28.86081027,FALSE,FALSE,TRUE
n-nervonoyl-sphingadiene (d18:2/24:1),N-nervonoyl-sphingadiene (d18:2/24:1)*,100015699,Lipid,Ceramides,1,0.0,,NA,NA,NA,NA,FALSE,FALSE,TRUE
hexadecasphingosine (d16:1),hexadecasphingosine (d16:1)*,100015723,Lipid,Sphingosines,2,25.15042118,16.89750693,NA,NA,NA,25.15042118,FALSE,FALSE,TRUE
glycosyl-n-(2-hydroxynervonoyl)-sphingosine (d18:1/24:1(2oh)),glycosyl-N-(2-hydroxynervonoyl)-sphingosine (d18:1/24:1(2OH))*,100015752,Lipid,Hexosylceramides (HCER),2,5.447830102,5.447830102,NA,NA,NA,1.945447252,FALSE,FALSE,TRUE
erucoylcarnitine (c22:1),erucoylcarnitine (C22:1)*,100015841,Lipid,Fatty Acid Metabolism (Acyl Carnitine	 Monounsaturated),1,25.02308403,25.02308403,NA,NA,NA,NA,FALSE,FALSE,TRUE
docosapentaenoylcarnitine (c22:5n3),docosapentaenoylcarnitine (C22:5n3)*,100015851,Lipid,Fatty Acid Metabolism (Acyl Carnitine	 Polyunsaturated),2,24.56140351,24.56140351,NA,NA,NA,17.4488568,FALSE,FALSE,TRUE
cefpodoxime,cefpodoxime,100015892,Xenobiotics,Drug - Antibiotic,1,99.9076639,99.9076639,NA,NA,NA,NA,FALSE,FALSE,TRUE
morphine-3-glucuronide,morphine-3-glucuronide,100016052,Xenobiotics,Drug - Analgesics	 Anesthetics,2,99.9076639,99.9076639,NA,NA,NA,99.25792218,FALSE,FALSE,TRUE
3-hydroxyphenylacetoylglutamine,3-hydroxyphenylacetoylglutamine,100019831,Peptide,Acetylated Peptides,1,48.47645429,48.47645429,NA,NA,NA,NA,FALSE,FALSE,TRUE
methylnaphthyl sulfate (2),methylnaphthyl sulfate (2)*,100020006,Xenobiotics,Chemical,2,60.38908945,47.09141274,NA,NA,NA,60.38908945,FALSE,FALSE,TRUE
glucuronide of c10h18o2 (8),glucuronide of C10H18O2 (8)*,100020015,Partially Characterized Molecules,Partially Characterized Molecules,4,80.03992016,64.9122807,72.47097844,80.03992016,NA,72.78379462,FALSE,FALSE,TRUE
3-hydroxybutyroylglycine,3-hydroxybutyroylglycine**,100020211,Lipid,Fatty Acid Metabolism (Acyl Glycine),2,12.18836565,12.18836565,NA,NA,NA,0.521460088,FALSE,FALSE,TRUE
n-methylhydroxyproline,N-methylhydroxyproline**,100020215,Amino Acid,Urea cycle Arginine and Proline Metabolism,4,8.982035928,7.756232687,1.492537313,8.982035928,NA,7.541115122,FALSE,FALSE,TRUE
n4-acetyl-5-hydroxysulfamethoxazole,N4-acetyl-5-hydroxysulfamethoxazole*,100020244,Xenobiotics,Drug - Antibiotic,3,99.97994384,97.2299169,99.83416252,NA,NA,99.97994384,FALSE,FALSE,TRUE
glycine conjugate of c10h12o2,glycine conjugate of C10H12O2*,100020253,Partially Characterized Molecules,Partially Characterized Molecules,4,51.89620758,33.51800554,40.96185738,51.89620758,NA,10.00802246,FALSE,FALSE,TRUE
n-carbamoylvaline,N-carbamoylvaline,100020351,Amino Acid,Leucine	 Isoleucine and Valine Metabolism,1,14.77377655,14.77377655,NA,NA,NA,NA,FALSE,FALSE,TRUE
delta-cehc,delta-CEHC,100020416,Cofactors and Vitamins,Tocopherol Metabolism,2,100.0,32.87165282,NA,NA,NA,100,FALSE,FALSE,TRUE
glucuronide of piperine metabolite c17h21no3 (3),glucuronide of piperine metabolite C17H21NO3 (3)*,100020491,Xenobiotics,Food Component/Plant,4,52.35457064,52.35457064,14.26202322,12.5748503,NA,9.867629362,FALSE,FALSE,TRUE
cholic acid glucuronide,cholic acid glucuronide,100020549,Lipid,Primary Bile Acid Metabolism,4,45.70858283,45.52169898,32.8358209,45.70858283,NA,35.98074609,FALSE,FALSE,TRUE
2-hydroxyfluorene sulfate,2-hydroxyfluorene sulfate,100020585,Xenobiotics,Tobacco Metabolite,1,25.48476454,25.48476454,NA,NA,NA,NA,FALSE,FALSE,TRUE
